W1	W2	P1	P2	Liaison	Nasalization	Linking consonant	Phonetic realization	Frequency	SSF1	SSF2
service	militaire	N	ADJ	FALSE	FALSE		sɛʁvismilitɛʁ	2	N{Service.g=M num=SG}*	ADJ{Military}
dictées	musicales	NC	ADJ	FALSE	FALSE		diktemyzikal	2	N{Dictation.g=F num=PL}*	ADJ{Musical}
étape	nécessaire	NC	ADJ	FALSE	FALSE		etapnesesɛʁ	5	N{Stage.g=F num=SG}*	ADJ{Necessary}
photos	nues	NC	ADJ	FALSE	FALSE		fɔtony	2	N{Photo.g=F num=PL}*	ADJ{Nude}
visites	officielles	NC	ADJ	TRUE	FALSE	z	vizitzɔfisjɛl	1	N{Visit.g=F num=PL}*	ADJ{Official}
jeux	olympiques	NC	ADJ	TRUE	FALSE	z	ʒøzɔlɛ̃pik	16	N{Game.g=M num=PL}*	ADJ{Olympic}
jeux	olympiques	NC	ADJ	FALSE	FALSE		ʒøɔlɛ̃pik	3	N{Game.g=M num=PL}*	ADJ{Olympic}
jeux	olympiques	NC	ADJ	TRUE	FALSE	zh	ʒøzhɔlɛ̃pik	1	N{Game.g=M num=PL}*	ADJ{Olympic}
bataille	politique	NC	ADJ	FALSE	FALSE		batajpɔlitik	21	N{Battle.g=F num=SG}*	ADJ{Political}
mont	saint	N	ADJ	FALSE	FALSE		mɔ̃sɛ̃	8	N{Mountain.g=M num=SG}*	ADJ{Holy}
impasse	stupide	N	ADJ	FALSE	FALSE		ɛ̃passtypid	18	N{Impasse.g=F num=SG}*	ADJ{Stupid}
professions	successives	NC	ADJ	FALSE	FALSE		pʁɔfesjɔ̃syksesiv	2	N{Profession2.g=F num=PL}*	ADJ{Successive}
études	supérieures	NC	ADJ	FALSE	FALSE		etydsypeʁjœʁ	2	N{Study.g=F num=PL}*	ADJ{Higher}
république	tchèque	N	ADJ	FALSE	FALSE		ʁepybliktʃɛk	2	N{Republic.g=F num=SG}*	ADJ{Czech}
communes	voisines	NC	ADJ	FALSE	FALSE		kɔmynvwazin	16	N{Commune.g=F num=PL}*	ADJ{Neighbouring}
chaque	voyage	DET	NC	FALSE	FALSE		ʃakvwajaʒ	3	ADJ{Every}	N{Voyage.g=M num=SG}*
